return_id,order_id,customer_id,product_id,return_date,return_reason,return_status,refund_amount,days_to_return,return_address,tracking_id
RET_00000000,ORD_00000007,CUST_000968,PROD_000459,2025-02-03,Not as described,Approved,114.29761743418881,12.816772700939831,"9586 Simon Plaza
North Kayla, AL 20768",393192fb-28d8-4631-9838-d69617126f15
RET_00000000,ORD_00000011,CUST_009437,PROD_000437,2025-02-13,Quality issues,Approved,415.4771127704971,0.17280569170098592,"820 Lisa Key Apt. 218
Sarahton, MN 79274",473f16b3-114a-4fab-9e0c-21d015863e07
RET_00000000,ORD_00000017,CUST_004047,PROD_000157,2024-11-28,Defective item,Approved,191.96874387179065,9.0,"63470 Harris Parkway Apt. 283
Rodriguezmouth, NY 06769",d31e0372-1984-4ec2-aaef-dec81f554b2f
RET_00000000,ORD_00000023,CUST_009591,PROD_000094,2025-05-22,Wrong item sent,Approved,1078.0422081004574,2.683871325642755,"71308 Charles Port Suite 392
East Nicolebury, PR 37812",1c7105d7-7413-418f-967d-3f159fa42302
RET_00000000,ORD_00000071,CUST_003497,PROD_000142,2025-07-24,Wrong item sent,Approved,757.150900949943,2.1789406661118482,"81162 Hansen Summit Apt. 760
West Melissa, AZ 50864",92e2232d-ded2-4521-9c01-e206f8c3b4f7
RET_00000000,ORD_00000081,CUST_007825,PROD_000121,2025-05-29,Wrong size,Approved,286.2394762577578,1.798362969494351,"074 David Causeway
South Anthony, AS 53566",14dfb3b4-154e-4634-a5a8-1fed76feb6a8
RET_00000000,ORD_00000106,CUST_002219,PROD_000247,2024-11-13,Better price found,Approved,451.0921128756645,1.6723305211512955,"354 Jessica Cliffs Suite 966
West Phillip, FM 42950",c5000f4c-e697-4924-a54a-129e50a3c888
RET_00000000,ORD_00000110,CUST_004680,PROD_000428,2025-04-27,Damaged in shipping,Approved,284.673871791385,0.7169421240728722,"9498 Eric Crossing Suite 865
Lake Sarah, AK 82545",dc82e9f6-53bc-4612-94f4-1e616337801f
RET_00000000,ORD_00000117,CUST_005810,PROD_000195,2025-09-05,Wrong size,Approved,652.5820484027629,27.0,"74458 Susan Freeway Suite 317
Villarrealmouth, LA 18228",9b616e5f-34c3-4299-b42f-cfee7eff649c
RET_00000000,ORD_00000121,CUST_004020,PROD_000201,2024-09-27,Wrong item sent,Approved,120.97142000252921,2.1378973293595602,"317 Pollard Glen Suite 924
West Carmen, ME 07167",fda55c2e-219b-4cdd-a321-4e37b06c3c2e
